nohup: ignoring input
---------------------------------Starting---------------------------------
Saving unlabeled images
{'dataset': 'rescuenet', 'ignore_label': 255, 'model': 'DeepLab', 'pretrained': 'coco', 'seed': 1, 'training': {'batch_size': 2, 'data': {'crop': True, 'input_size': '750,750', 'labeled_samples': 900, 'scale': True, 'split_id_list': 1000}, 'learning_rate': 0.00025, 'lr_schedule': 'Poly', 'lr_schedule_power': 0.9, 'momentum': 0.9, 'num_iterations': 40000, 'num_workers': 4, 'optimizer': 'SGD', 'unlabeled': {'blur': False, 'color_jitter': False, 'consistency_loss': 'CE', 'consistency_weight': 1, 'flip': False, 'pixel_weight': 'threshold_uniform', 'mix_mask': 'class', 'train_unlabeled': True}, 'use_sync_batchnorm': True, 'weight_decay': 0.0005}, 'utils': {'checkpoint_dir': '../../../data/jpk322/ClassMix/RescueNet/', 'log_per_iter': 200, 'save_best_model': True, 'save_checkpoint_every': 1000, 'tensorboard': True, 'val_per_iter': 5000}}
dataset size:  3595
Training with labeled samples: 900
/home/jpk322/.conda/envs/classMix/lib/python3.10/site-packages/torch/optim/sgd.py:27: UserWarning: optimizer contains a parameter group with duplicate parameters; in future, this will cause an error; see github.com/pytorch/pytorch/issues/40967 for more information
  super().__init__(params, defaults)
iter =    273/ 40000, loss_l = 1.959, loss_u = 0.001
iter =    274/ 40000, loss_l = 3.502, loss_u = 0.002
iter =    275/ 40000, loss_l = 0.894, loss_u = 0.002
iter =    276/ 40000, loss_l = 0.879, loss_u = 0.000
iter =    277/ 40000, loss_l = 0.870, loss_u = 0.001
iter =    278/ 40000, loss_l = 1.427, loss_u = 0.000
iter =    279/ 40000, loss_l = 0.865, loss_u = 0.000
iter =    280/ 40000, loss_l = 1.023, loss_u = 0.000
iter =    281/ 40000, loss_l = 1.498, loss_u = 0.000
iter =    282/ 40000, loss_l = 0.745, loss_u = 0.001
iter =    283/ 40000, loss_l = 0.799, loss_u = 0.000
iter =    284/ 40000, loss_l = 0.733, loss_u = 0.000
iter =    285/ 40000, loss_l = 1.326, loss_u = 0.000
iter =    286/ 40000, loss_l = 1.604, loss_u = 0.000
iter =    287/ 40000, loss_l = 0.563, loss_u = 0.000
iter =    288/ 40000, loss_l = 1.044, loss_u = 0.000
iter =    289/ 40000, loss_l = 2.110, loss_u = 0.000
iter =    290/ 40000, loss_l = 0.511, loss_u = 0.002
iter =    291/ 40000, loss_l = 0.947, loss_u = 0.000
iter =    292/ 40000, loss_l = 0.846, loss_u = 0.001
iter =    293/ 40000, loss_l = 1.596, loss_u = 0.003
iter =    294/ 40000, loss_l = 1.031, loss_u = 0.001
iter =    295/ 40000, loss_l = 1.144, loss_u = 0.000
iter =    296/ 40000, loss_l = 0.796, loss_u = 0.001
iter =    297/ 40000, loss_l = 0.863, loss_u = 0.000
iter =    298/ 40000, loss_l = 0.554, loss_u = 0.000
iter =    299/ 40000, loss_l = 0.641, loss_u = 0.000
iter =    300/ 40000, loss_l = 2.405, loss_u = 0.000
iter =    301/ 40000, loss_l = 0.362, loss_u = 0.014
iter =    302/ 40000, loss_l = 0.747, loss_u = 0.000
iter =    303/ 40000, loss_l = 1.296, loss_u = 0.000
iter =    304/ 40000, loss_l = 0.679, loss_u = 0.000
iter =    305/ 40000, loss_l = 2.117, loss_u = 0.012
iter =    306/ 40000, loss_l = 0.901, loss_u = 0.000
iter =    307/ 40000, loss_l = 2.496, loss_u = 0.000
iter =    308/ 40000, loss_l = 0.631, loss_u = 0.000
iter =    309/ 40000, loss_l = 1.634, loss_u = 0.001
iter =    310/ 40000, loss_l = 0.882, loss_u = 0.000
iter =    311/ 40000, loss_l = 0.670, loss_u = 0.001
iter =    312/ 40000, loss_l = 1.698, loss_u = 0.000
iter =    313/ 40000, loss_l = 1.692, loss_u = 0.000
iter =    314/ 40000, loss_l = 0.713, loss_u = 0.000
iter =    315/ 40000, loss_l = 1.583, loss_u = 0.001
iter =    316/ 40000, loss_l = 1.739, loss_u = 0.000
iter =    317/ 40000, loss_l = 1.693, loss_u = 0.000
iter =    318/ 40000, loss_l = 0.890, loss_u = 0.002
iter =    319/ 40000, loss_l = 1.549, loss_u = 0.000
iter =    320/ 40000, loss_l = 0.698, loss_u = 0.020
iter =    321/ 40000, loss_l = 0.814, loss_u = 0.002
iter =    322/ 40000, loss_l = 0.957, loss_u = 0.000
iter =    323/ 40000, loss_l = 0.826, loss_u = 0.012
iter =    324/ 40000, loss_l = 0.577, loss_u = 0.000
iter =    325/ 40000, loss_l = 1.562, loss_u = 0.000
iter =    326/ 40000, loss_l = 0.645, loss_u = 0.000
iter =    327/ 40000, loss_l = 0.719, loss_u = 0.001
iter =    328/ 40000, loss_l = 0.924, loss_u = 0.000
iter =    329/ 40000, loss_l = 3.140, loss_u = 0.000
iter =    330/ 40000, loss_l = 0.966, loss_u = 0.000
iter =    331/ 40000, loss_l = 0.750, loss_u = 0.000
iter =    332/ 40000, loss_l = 2.172, loss_u = 0.000
iter =    333/ 40000, loss_l = 0.701, loss_u = 0.000
iter =    334/ 40000, loss_l = 0.642, loss_u = 0.000
iter =    335/ 40000, loss_l = 0.702, loss_u = 0.000
iter =    336/ 40000, loss_l = 1.192, loss_u = 0.005
iter =    337/ 40000, loss_l = 2.059, loss_u = 0.000
iter =    338/ 40000, loss_l = 0.807, loss_u = 0.000
iter =    339/ 40000, loss_l = 1.964, loss_u = 0.000
iter =    340/ 40000, loss_l = 0.831, loss_u = 0.000
iter =    341/ 40000, loss_l = 1.230, loss_u = 0.000
iter =    342/ 40000, loss_l = 0.974, loss_u = 0.000
iter =    343/ 40000, loss_l = 1.221, loss_u = 0.000
iter =    344/ 40000, loss_l = 0.758, loss_u = 0.001
iter =    345/ 40000, loss_l = 1.026, loss_u = 0.000
iter =    346/ 40000, loss_l = 1.450, loss_u = 0.006
iter =    347/ 40000, loss_l = 0.856, loss_u = 0.000
iter =    348/ 40000, loss_l = 1.804, loss_u = 0.002
iter =    349/ 40000, loss_l = 0.914, loss_u = 0.000
iter =    350/ 40000, loss_l = 1.223, loss_u = 0.009
iter =    351/ 40000, loss_l = 1.211, loss_u = 0.000
iter =    352/ 40000, loss_l = 1.302, loss_u = 0.000
